9.1595700,48.7592900,"[70199] Karl-Kloss-Str.18 [Stuttgart]"
8.2305700,48.7690100,"[76530] Langestr.104 [Baden-Baden]"
9.1732900,48.7709200,"[70178] Paulinenstr.25 [Stuttgart]"
8.1852000,48.7795100,"[76532] Sinzheimer Str.84 [Baden-Baden]"
9.2009300,48.7811300,"[70188] Schwarenbergstr.124 [Stuttgart]"
9.0106200,48.7914500,"[71229] Leonberger Str.38 [Leonberg]"
8.2972400,48.7971900,"[76571] Waldstr.31a [Gaggenau]"
9.1551900,48.8042400,"[70469] Feuerbachtal Str.62 [Stuttgart]"
8.9524400,48.8069300,"[71277] Leonberger Str.56 [Rutesheim]"
13.5455400,48.8134400,"[94078] Grafenauer Str.45 [Freyung]"
8.5431900,48.8466400,"[75334] Hauptstr.147 [Straubenhardt]"
8.5884900,48.8471300,"[79395] Bahnhofstr.1a [Neuenburg]"
10.7066400,48.8731200,"[86650] Bahnhofstr.23 [Wemding]"
9.1942200,48.8883000,"[71638] Stuttgarter Str.70 [Ludwigsburg]"
8.6859400,48.8964500,"[75179] Wilferdinger Str. 2 [Pforzheim]"
9.2020500,48.9296700,"[71691] Ludwigsburger Str.93 [Freiberg]"
8.3767900,48.9352800,"[76275] Nobelstr.24 [Ettlingen]"
8.8580100,48.9591500,"[75417] Lienzingerstr.76 [Mühlacker]"
9.1761700,48.9611300,"[74379] Besigheimer Str.11 [Ingersheim]"
9.5800100,48.9810900,"[71540] Siegelsberger Str.4-6 [Murrhardt]"
12.6397500,48.9997900,"[94347] Chamer Str.20 [Ascha]"
12.1974500,49.0021900,"[93092] Neutraublinger Str.12 [Barbing]"
12.1112600,49.0104500,"[93053] Landshuter Str.42 [Regensburg]"
12.0755300,49.0169500,"[93049] Prüfeninger Str.41 [Regensburg]"
12.1477900,49.0250100,"[93055] Donaustaufer Str.314 [Regensburg]"
8.3947800,49.0340800,"[76149] Linkenheimer Landstr.102a [Karlsruhe]"
9.0684700,49.0827500,"[74336] Georg-Kohl-Str. [Brackenheim]"
8.6418700,49.0966200,"[76646] Stuttgarter Str.4 [Bruchsal]"
8.9609500,49.1429500,"[75050] Zeilstr.17 [Gemmingen]"
7.2360600,49.1508800,"[66453] Bliestalstr.81 [Gersheim]"
9.2146500,49.1696800,"[74076] Karl-Wüst-Str.7 [Heilbronn]"
9.9617400,49.1715300,"[74592] Im Seefeld 2 [Kirchberg]"
8.1141200,49.1861400,"[76829] Weissenburger Str.24 [Landau]"
7.6008100,49.1973300,"[66955] Winzlerstr.93 [Pirmasens]"
7.9659700,49.2028600,"[76855] Landauer Str.24 [Annweiler]"
8.6994700,49.2157000,"[76684] Hauptstr.3 [Östringen]"
8.5349000,49.2458900,"[68753] Wahhäuseler Str.124 [Waghäusel]"
6.9105200,49.2470800,"[66130] Provinzialatr.2 [Saarbrücken]"
6.8598300,49.2475000,"[66333] Karolinger Str.7 [Völklingen]"
6.8354600,49.2477900,"[66333] Schaffhauser Str.38 [Völklingen]"
7.3500800,49.2525000,"[66482] Homburger Str.106-108 [Zweibrücken]"
6.7208000,49.3278400,"[66798] Hauptstr.1 [Wallerfangen]"
11.0310200,49.3320200,"[91126] Fürther Str.5 [Schwabach]"
8.6886500,49.3489900,"[69181] St. Ilgener Str.1 [Leimen]"
8.3075000,49.3736600,"[67459] Eisenbahnstr.101 [Böhl-Iggelheim]"
8.6898600,49.3991200,"[69115] Rohrbacher Str.105 [Heidelberg]"
8.6747200,49.4087800,"[69115] Vangerowstr.37 [Heidelberg]"
6.9209500,49.4146300,"[66822] Thoyleyer Str. [Lebach]"
8.6824400,49.4332200,"[69121] Dossenheimer Landstr.108 [Heidelberg]"
11.8712500,49.4369300,"[92224] Drahthammer Str.22 [Amberg]"
7.5555800,49.4394800,"[66877] Landstuhler Str.72 [Ramstein-Miesenbach]"
7.7609800,49.4467600,"[67659] D Tankstellen Shell; Burgstr.40 [Kaiserslautern]"
11.0148800,49.4524000,"[90431] Shell; Sigmundstr.104; (0911) 32 63 32 3 [Nürnberg]"
8.4842800,49.4681000,"[68199] Nackarauer Str.245 [Mannheim]"
8.4854500,49.4739900,"[68165] Viehhofstr.21-23 [Mannheim]"
11.2591000,49.4763200,"[90552] Rückersdorfer Str.42 [Röthenbach]"
11.7753800,49.4913100,"[92237] Rosenbachstr.16-18 [Sulzbach-Rosenberg]"
11.4379900,49.5025700,"[91217] Ostbahnstr.49 [Hersbruck]"
11.4229200,49.5091400,"[91217] Nürnberger Str.60 [Hersbruck]"
7.3593000,49.5101300,"[66871] Hauptstr.1 [Konken]"
8.3532100,49.5497400,"[67227] Wormser Str.121 [Frankenthal]"
7.4533700,49.5510100,"[66885] Kuseler Str.28 [Altenglan]"
10.7030500,49.5530300,"[91448] Neustädterstr.29 [Emskirchen]"
8.8392900,49.5697200,"[69483] Ludwigstr.168 [Wald-Michelbach]"
7.0808900,49.5759000,"[66625] Saarbrücker Str.95 [Nohfelden]"
9.3757900,49.5823900,"[74731] Würzburger Str.9 [Walldürn]"
8.7311400,49.5956200,"[69509] Weinheimer Str.34 [Mörlenbach]"
6.5536600,49.6097000,"[54439] Im Hagen 23 [Saarburg]"
9.6679300,49.6232800,"[97941] Mergentheimer Str.10 [Tauberbischofsheim]"
11.2401600,49.6245400,"[91338] Bayreuther Str.37 [Igensdorf]"
8.3689500,49.6315300,"[67547] Ludwigstr.2 [Worms]"
11.6249600,49.6890100,"[91275] Neuhauser Str.26 [Auerbach]"
7.3013700,49.7196200,"[55743] Mainzer Str.81 [Idar-Oberstein]"
10.1524200,49.7387700,"[97318] Repperndorfer Str.6a [Kitzingen]"
9.8450300,49.7461400,"[97270] Hauptstr.1 [Kist]"
8.4820800,49.7554200,"[64579] Mainzer Str.5 [Gernsheim]"
6.9975600,49.7609600,"[54424] Hunsrückhöhen Str. [Thalfang]"
9.5116200,49.7632200,"[97877] Weingärtnerstr.1 [Wertheim]"
7.7061000,49.7648300,"[55571] Hauptstr.2 [Odernheim]"
10.4704800,49.7681400,"[96160] Scheinfelder Str.23 [Geiselwind]"
7.8426200,49.8096700,"[55583] Berliner Str.12 [Bad Münster]"
11.6254700,49.8397700,"[95473] Kappel 2 [Creussen]"
9.1592100,49.8434700,"[63820] Marienstr.37 [Elsenfeld]"
8.6534000,49.8917700,"[64293] Frankfurter Str.121 [Darmstadt]"
8.1954200,49.9062100,"[55268] Pariser Str.142 [Nieder-Olm]"
8.4448700,49.9611600,"[65428] Astheimer Str.39 [Rüsselsheim]"
8.6759900,49.9697600,"[63329] Darmstädter Landstr.11 [Egelsbach]"
8.5520400,49.9742400,"[64546] Am Schlichter 2 [Mörfelden-Walldorf]"
7.5219400,49.9797100,"[55469] An der Bleiche 3 [Simmern]"
10.5553600,49.9819500,"[97478] Steinbruch 12 [Knetzgau]"
8.4501100,49.9867000,"[65428] Hessenring 2 [Rüsselsheim]"
7.5277800,49.9921100,"[55469] Koblenzer Str.103 [Simmern]"
8.2565200,49.9979200,"[55131] Binger Str.27 [Mainz]"
8.5881400,49.9997500,"[64546] Frankfurter Landstr.6 [Mörfelden-Walldorf]"
10.9284400,50.0149800,"[96199] Bamberger Str.31 [Zapfendorf]"
8.4561600,50.0154400,"[65479] Kelsterbacher Str.1-3 [Raunheim]"
8.8845900,50.0346500,"[63110] Weiskircher Str.79 [Rodgau]"
8.2036300,50.0441800,"[65201] Rheingaustr.26a [Wiesbaden]"
8.9283100,50.0550400,"[63500] Offenbacher Landstr.40 [Seligenstadt]"
8.4972000,50.0572200,"[65795] Mainstr.40 [Hattersheim]"
10.2242400,50.0685700,"[97456] Hauptstr.3 [Dittelbrunn]"
8.9033300,50.1225700,"[63456] Offenbacher Landstr.25 [Hanau]"
8.9357300,50.1279100,"[63450] Leipziger Str.76-78 [Hanau]"
10.5256200,50.1391500,"[97461] Gossmannsdorfer Str.1 [Hofheim]"
8.0835500,50.1497400,"[65307] Bahnhofstr.15a [Bad Schwalbach]"
